factor,bin,n,avg_pnl,median_pnl,winrate,profit_factor,pnl_wo_top1
alpha_atr_ratio_short_long,0,4,36.17622980513904,40.8806985970393,0.75,2.173517215792977,-41.54733426136508
alpha_atr_ratio_short_long,1,4,-104.90815980533219,-122.70941193069841,0.25,0.17040603946004998,-505.82894666712184
alpha_body_ratio,0,4,52.84203601615017,74.33044294519073,0.75,2.710859622748503,25.115890582679413
alpha_body_ratio,1,4,-121.57396601634332,-122.59128000456926,0.25,0.038166728683762016,-505.5926828148635
alpha_compression,0,4,-75.5484302298371,-52.124088279105884,0.5,0.21294519420867533,-364.65829936393675
alpha_compression,1,4,6.816500229643957,-17.838760553950863,0.5,1.1112069346105184,-158.98625256334546
alpha_hour_norm,0,4,-35.340150141965594,-52.00595635297673,0.5,0.42735075373807574,-227.55690801365546
alpha_hour_norm,1,4,-33.391779858227544,-29.704625054553222,0.5,0.650607568123278,-319.81937291483143
alpha_liq_sweep_bear,0,8,-34.36596500009657,-51.28850490210228,0.5,0.5630086552418937,-461.179973482694
alpha_liq_sweep_bull,0,8,-34.36596500009657,-51.28850490210228,0.5,0.5630086552418937,-461.179973482694
alpha_range_position,0,4,1.900881967568715,40.8806985970393,0.75,1.0291982807286926,-178.64872561164637
alpha_range_position,1,4,-70.63281196776185,-122.59128000456926,0.25,0.23376692683498052,-368.7275553168405
alpha_session_bucket,0,4,-35.340150141965594,-52.00595635297673,0.5,0.42735075373807574,-227.55690801365546
alpha_session_bucket,1,4,-33.391779858227544,-29.704625054553222,0.5,0.650607568123278,-319.81937291483143
alpha_vol_roll_pctile,0,4,-40.85529070376498,-51.28850490210228,0.5,0.333471504625089,-225.88574125964828
alpha_vol_roll_pctile,1,4,-27.876639296428166,-18.674343930954464,0.5,0.7095843969117981,-297.75881066763395
alpha_wick_lower_ratio,0,4,-79.83510733323556,-122.59128000456926,0.25,0.36838399726232307,-505.59268281486345
alpha_wick_lower_ratio,1,4,11.103177333042417,40.8806985970393,0.75,1.3594861064307386,-41.78359811362341
alpha_wick_upper_ratio,0,8,-34.36596500009657,-51.28850490210228,0.5,0.5630086552418937,-461.179973482694
raw_atr_expansion,0,4,-80.25289902173736,-123.42686338157286,0.25,0.3671703663492267,-507.2638495688707
raw_atr_expansion,1,4,11.52096902154422,40.8806985970393,0.75,1.3781277459899717,-40.11243135961621
raw_candle_structure,0,4,52.84203601615017,74.33044294519073,0.75,2.710859622748503,25.115890582679413
raw_candle_structure,1,4,-121.57396601634332,-122.59128000456926,0.25,0.038166728683762016,-505.5926828148635
raw_ema_distance,0,4,0.8835679793427786,-29.704625054553222,0.5,1.0144148585333288,-182.71798156455014
raw_ema_distance,1,4,-69.61549797953592,-52.124088279105884,0.5,0.2747537959999763,-364.65829936393675
raw_impulse_strength,0,4,6.816500229643957,-17.838760553950863,0.5,1.1112069346105184,-158.98625256334546
raw_impulse_strength,1,4,-75.5484302298371,-52.124088279105884,0.5,0.21294519420867533,-364.65829936393675
raw_retest_speed,0,4,-157.28441953064137,-123.42686338157286,0.0,0.0,-507.2638495688707
raw_retest_speed,1,4,88.55248953044824,74.33044294519073,1.0,,167.95770463987165
