factor,bin,n,avg_pnl,winrate,profit_factor,pnl_wo_top1
impulse_strength,0,4,6.816500229643957,0.5,1.1112069346105184,-158.98625256334543
impulse_strength,1,4,-75.5484302298371,0.5,0.21294519420867533,-364.65829936393675
atr_expansion,0,4,-111.19981778107058,0.25,0.12314021292405859,-507.26384956887074
atr_expansion,1,4,42.46788778087745,0.75,2.3938312526931758,-16.38070235841147
retest_speed,0,4,-157.28441953064137,0.0,0.0,-507.2638495688707
retest_speed,1,4,88.55248953044824,1.0,,167.9577046398717
ema_distance,0,4,-69.61549797953592,0.5,0.2747537959999763,-364.65829936393675
ema_distance,1,4,0.8835679793427786,0.5,1.0144148585333288,-182.71798156455014
candle_structure,0,4,11.103177333042417,0.75,1.3594861064307386,-41.783598113623405
candle_structure,1,4,-79.83510733323556,0.25,0.36838399726232307,-505.59268281486345
