factor,n_trades,n_nonnull,unreliable_small_sample,pearson_pnl,spearman_pnl,monotonic_bins,monotonicity_rho,spearman_train,spearman_test,sign_consistent,stability_score,recommended_drop
alpha_atr_ratio_short_long,3,3,True,0.46896504624758373,0.5,False,0.0,,,,0.0,False
alpha_body_ratio,3,3,True,-0.7891171886606372,-0.5,False,0.0,,,,0.0,False
alpha_compression,3,3,True,-0.47760897813198633,-0.5,False,0.0,,,,0.0,False
alpha_expand_after_compress,3,3,True,,-0.5,False,0.0,,,,0.0,False
alpha_hour_norm,3,3,True,-0.994073376918799,-1.0,False,0.0,,,,0.0,False
alpha_liq_sweep_bear,3,3,True,,-0.5,False,0.0,,,,0.0,False
alpha_liq_sweep_bull,3,3,True,,-0.5,False,0.0,,,,0.0,False
alpha_range_position,3,3,True,-0.9798413240736403,-1.0,False,0.0,,,,0.0,False
alpha_session_bucket,3,3,True,-0.9419763251274722,-0.5,False,0.0,,,,0.0,False
alpha_vol_roll_pctile,3,3,True,0.9780576522929747,1.0,False,0.0,,,,0.0,False
alpha_wick_lower_ratio,3,3,True,-0.9992601055907576,-1.0,False,0.0,,,,0.0,False
alpha_wick_upper_ratio,3,3,True,0.9491377935110191,1.0,False,0.0,,,,0.0,False
raw_atr_expansion,3,3,True,0.931859622934013,0.5,False,0.0,,,,0.0,False
raw_candle_structure,3,3,True,-0.7891171886606372,-0.5,False,0.0,,,,0.0,False
raw_ema_distance,3,3,True,0.9411785972328627,1.0,False,0.0,,,,0.0,False
raw_htf_score,3,3,True,,-0.5,False,0.0,,,,0.0,False
raw_impulse_strength,3,3,True,-0.7988816314058,-1.0,False,0.0,,,,0.0,False
raw_retest_speed,3,3,True,0.9419763251274723,1.0,False,0.0,,,,0.0,False
