factor,n_trades,n_nonnull,unreliable_small_sample,pearson_pnl,spearman_pnl,monotonic_bins,monotonicity_rho,spearman_train,spearman_test,sign_consistent,stability_score,recommended_drop
alpha_atr_ratio_short_long,4,4,True,-0.1880774809688582,-0.4,False,0.0,,,,0.0,False
alpha_body_ratio,4,4,True,-0.2015965768362287,0.0,False,0.0,,,,0.0,True
alpha_compression,4,4,True,0.7809216253168184,0.8,False,0.0,,,,0.0,False
alpha_expand_after_compress,4,4,True,,-0.4,False,0.0,,,,0.0,False
alpha_hour_norm,4,4,True,0.8022633923092463,0.8,False,0.0,,,,0.0,False
alpha_liq_sweep_bear,4,4,True,0.2264299286868177,0.0,False,0.0,,,,0.0,True
alpha_liq_sweep_bull,4,4,True,-0.8493514241294176,-0.4,False,0.0,,,,0.0,False
alpha_range_position,4,4,True,-0.7178606133815486,-0.4,False,0.0,,,,0.0,False
alpha_session_bucket,4,4,True,0.7396250761720266,0.2,False,0.0,,,,0.0,False
alpha_vol_roll_pctile,4,4,True,0.4122478589440957,0.6,False,0.0,,,,0.0,False
alpha_wick_lower_ratio,4,4,True,-0.637112370760655,-0.4,False,0.0,,,,0.0,False
alpha_wick_upper_ratio,4,4,True,0.6324691626883572,0.6,False,0.0,,,,0.0,False
raw_atr_expansion,4,4,True,0.12068854842215977,0.2,False,0.0,,,,0.0,False
raw_candle_structure,4,4,True,-0.2015965768362287,0.0,False,0.0,,,,0.0,True
raw_ema_distance,4,4,True,-0.4507391784567883,-0.4,False,0.0,,,,0.0,False
raw_htf_score,4,4,True,,-0.4,False,0.0,,,,0.0,False
raw_impulse_strength,4,4,True,-0.9788485979718206,-1.0,False,0.0,,,,0.0,False
raw_retest_speed,4,4,True,0.7688694562984455,0.8,False,0.0,,,,0.0,False
