factor,bin,n,avg_pnl,median_pnl,winrate,profit_factor,pnl_wo_top1
alpha_atr_ratio_short_long,0,2,102.77453626131161,102.77453626131161,1.0,,19.29681902215134
alpha_atr_ratio_short_long,1,2,-18.674311770727158,-18.674311770727158,0.5,0.6976921367924813,-123.54499530770201
alpha_body_ratio,0,2,-18.674311770727158,-18.674311770727158,0.5,0.6976921367924813,-123.54499530770201
alpha_body_ratio,1,2,102.77453626131161,102.77453626131161,1.0,,19.29681902215134
alpha_compression,0,2,-52.124088142775335,-52.124088142775335,0.5,0.15619264037438785,-123.54499530770201
alpha_compression,1,2,136.22431263335977,136.22431263335977,1.0,,86.19637176624767
alpha_hour_norm,0,2,-18.674311770727158,-18.674311770727158,0.5,0.6976921367924813,-123.54499530770201
alpha_hour_norm,1,2,102.77453626131161,102.77453626131161,1.0,,19.29681902215134
alpha_liq_sweep_bear,0,4,42.05011224529222,52.74659539419952,0.75,2.3614509318021963,-18.051804519303005
alpha_liq_sweep_bull,0,4,42.05011224529222,52.74659539419952,0.75,2.3614509318021963,-18.051804519303005
alpha_range_position,0,2,102.77453626131161,102.77453626131161,1.0,,19.29681902215134
alpha_range_position,1,2,-18.674311770727158,-18.674311770727158,0.5,0.6976921367924813,-123.54499530770201
alpha_session_bucket,0,4,42.05011224529222,52.74659539419952,0.75,2.3614509318021963,-18.051804519303005
alpha_vol_roll_pctile,0,2,-52.124088142775335,-52.124088142775335,0.5,0.15619264037438785,-123.54499530770201
alpha_vol_roll_pctile,1,2,136.22431263335977,136.22431263335977,1.0,,86.19637176624767
alpha_wick_lower_ratio,0,2,102.77453626131161,102.77453626131161,1.0,,19.29681902215134
alpha_wick_lower_ratio,1,2,-18.674311770727158,-18.674311770727158,0.5,0.6976921367924813,-123.54499530770201
alpha_wick_upper_ratio,0,2,-52.124088142775335,-52.124088142775335,0.5,0.15619264037438785,-123.54499530770201
alpha_wick_upper_ratio,1,2,136.22431263335977,136.22431263335977,1.0,,86.19637176624767
raw_atr_expansion,0,2,31.353629096384935,31.353629096384935,0.5,1.5075661546353274,-123.54499530770201
raw_atr_expansion,1,2,52.74659539419952,52.74659539419952,1.0,,19.29681902215134
raw_candle_structure,0,2,-18.674311770727158,-18.674311770727158,0.5,0.6976921367924813,-123.54499530770201
raw_candle_structure,1,2,102.77453626131161,102.77453626131161,1.0,,19.29681902215134
raw_ema_distance,0,2,31.353629096384935,31.353629096384935,0.5,1.5075661546353274,-123.54499530770201
raw_ema_distance,1,2,52.74659539419952,52.74659539419952,1.0,,19.29681902215134
raw_impulse_strength,0,2,136.22431263335977,136.22431263335977,1.0,,86.19637176624767
raw_impulse_strength,1,2,-52.124088142775335,-52.124088142775335,0.5,0.15619264037438785,-123.54499530770201
raw_retest_speed,0,2,-18.674311770727158,-18.674311770727158,0.5,0.6976921367924813,-123.54499530770201
raw_retest_speed,1,2,102.77453626131161,102.77453626131161,1.0,,19.29681902215134
