factor,n_trades,n_nonnull,unreliable_small_sample,pearson_pnl,spearman_pnl,monotonic_bins,monotonicity_rho,spearman_train,spearman_test,sign_consistent,stability_score,recommended_drop
alpha_atr_ratio_short_long,11,10,True,0.11890605671523855,-0.09090909090909091,False,0.5,-0.37142857142857144,,,0.0,False
alpha_body_ratio,11,11,True,-0.2418347057732173,-0.18181818181818182,True,1.0,-0.39285714285714285,,,0.0,False
alpha_compression,11,11,True,0.1604461895482176,0.08181818181818182,False,0.5,-0.03571428571428571,,,0.0,False
alpha_expand_after_compress,11,11,True,-0.23373233481408398,0.02727272727272727,False,0.0,0.14285714285714285,,,0.0,True
alpha_hour_norm,11,11,True,-0.01355464584565387,0.1,False,0.5,0.5,,,0.0,False
alpha_liq_sweep_bear,11,11,True,-0.13842908059139272,0.01818181818181818,False,0.0,0.14285714285714285,,,0.0,True
alpha_liq_sweep_bull,11,11,True,-0.445199040194516,-0.4090909090909091,False,0.0,-0.7142857142857143,,,0.0,False
alpha_range_position,11,11,True,-0.4110390831872355,-0.2909090909090909,False,0.5,-0.07142857142857142,,,0.0,False
alpha_session_bucket,11,11,True,0.15742462860295875,0.10909090909090909,False,0.0,0.4642857142857143,,,0.0,False
alpha_vol_roll_pctile,11,11,True,0.2963505940499324,0.39090909090909093,False,0.5,-0.14285714285714285,,,0.0,False
alpha_wick_lower_ratio,11,11,True,-0.16000405578107096,0.03636363636363636,False,0.5,0.2857142857142857,,,0.0,True
alpha_wick_upper_ratio,11,11,True,0.6352451867997871,0.32727272727272727,False,0.5,0.2857142857142857,,,0.0,False
raw_atr_expansion,11,11,True,0.2826655197834878,0.39090909090909093,True,1.0,0.21428571428571427,,,0.0,False
raw_candle_structure,11,11,True,-0.2418347057732173,-0.18181818181818182,True,1.0,-0.39285714285714285,,,0.0,False
raw_ema_distance,11,11,True,0.3941442635032933,0.5181818181818182,True,1.0,0.42857142857142855,,,0.0,False
raw_htf_score,11,11,True,,0.12727272727272726,False,0.0,0.21428571428571427,,,0.0,False
raw_impulse_strength,11,11,True,-0.041080522658778006,-0.045454545454545456,False,0.5,0.14285714285714285,,,0.0,True
raw_retest_speed,11,11,True,0.5976416981018796,0.21818181818181817,False,0.0,0.03571428571428571,,,0.0,False
