factor,bin,n,avg_pnl,median_pnl,winrate,profit_factor,pnl_wo_top1
alpha_atr_ratio_short_long,0,4,4.815990969076277,23.492063167256887,0.75,1.2686469185292824,-24.723243255900286
alpha_atr_ratio_short_long,1,3,-54.88035147031451,-85.8776055226911,0.3333333333333333,0.08191381989706764,-179.3307185960305
alpha_atr_ratio_short_long,2,3,69.36236496327852,26.813916768143606,0.6666666666666666,3.7091666083866133,-49.99460960512269
alpha_body_ratio,0,4,29.85918793202964,-22.595919846750157,0.5,1.7231557440485155,-138.6449527668397
alpha_body_ratio,1,3,-12.865030772315821,20.468596437600027,0.6666666666666666,0.5505802463629516,-65.40900908509107
alpha_body_ratio,2,4,-70.52809415522805,-31.059431094089664,0.5,0.17217935035301427,-326.09958375311754
alpha_compression,0,4,-3.7090872456089237,17.579130311343494,0.75,0.8068398173617404,-41.6502657505793
alpha_compression,1,3,-140.52189889268112,-85.8776055226911,0.0,0.0,-349.8583270876293
alpha_compression,2,4,58.7828321126845,35.25136851455957,0.75,3.516035268575949,-22.950376044220263
alpha_expand_after_compress,0,11,-18.297337928158278,14.689664185086961,0.5454545454545454,0.6599164909689978,-459.35242170469934
alpha_hour_norm,0,4,-76.40774682887938,-31.059431094089664,0.5,0.10316716514795164,-326.09958375311754
alpha_hour_norm,1,3,66.33933858013692,26.813916768143606,0.6666666666666666,3.31746116498119,-59.06368875454751
alpha_hour_norm,2,4,-23.664436408658577,-22.595919846750157,0.5,0.42687412807247666,-138.6449527668397
alpha_liq_sweep_bear,0,11,-18.297337928158278,14.689664185086961,0.5454545454545454,0.6599164909689978,-459.35242170469934
alpha_liq_sweep_bull,0,11,-18.297337928158278,14.689664185086961,0.5454545454545454,0.6599164909689978,-459.35242170469934
alpha_range_position,0,4,8.826544253005192,20.60259704100035,0.75,1.133745285650852,-222.77552748293755
alpha_range_position,1,3,-45.114503821275036,-85.8776055226911,0.3333333333333333,0.2452854004967951,-179.33071859603052
alpha_range_position,2,4,-25.30834568948418,-25.619386576407017,0.5,0.3183666832357568,-128.0472995260803
alpha_session_bucket,0,5,-9.509856564111852,14.689664185086961,0.6,0.860473054510272,-305.6309873155176
alpha_session_bucket,1,6,-25.620239064863636,-22.595919846750157,0.5,0.38765692688428316,-197.70864152138722
alpha_vol_roll_pctile,0,4,-29.54408908230992,-25.619386576407017,0.5,0.2844755935363044,-144.69188622615343
alpha_vol_roll_pctile,1,3,-101.95703998514131,-85.8776055226911,0.3333333333333333,0.125728627065629,-349.85832708762933
alpha_vol_roll_pctile,2,4,55.69418976873064,20.751790476615284,0.75,3.9004170447470203,-35.30494542003575
alpha_wick_lower_ratio,0,4,-70.52809415522805,-31.059431094089664,0.5,0.17217935035301427,-326.09958375311754
alpha_wick_lower_ratio,1,3,64.22423180328907,20.468596437600027,0.6666666666666666,3.2435732137286717,-65.4090090850911
alpha_wick_lower_ratio,2,4,-27.957758999674024,-22.595919846750157,0.5,0.3228947130993168,-138.6449527668397
alpha_wick_upper_ratio,0,4,-32.26411134115125,-31.059431094089664,0.5,0.24201102618257542,-155.57197526151873
alpha_wick_upper_ratio,1,3,-72.23273611973154,20.468596437600027,0.6666666666666666,0.17911350846168636,-243.51212512733818
alpha_wick_upper_ratio,2,4,36.12098412851463,-13.860081229104331,0.5,1.9168636566421167,-113.59776798089973
raw_atr_expansion,0,4,-104.19897756601375,-89.66535929801525,0.25,0.05981241965532361,-443.3114401609687
raw_atr_expansion,1,3,-4.3434994243739,14.689664185086961,0.6666666666666666,0.8182823000264726,-57.0177054053271
raw_atr_expansion,2,4,57.138922831858906,23.641256602871817,0.75,3.9756552054745047,-29.526013167522677
raw_candle_structure,0,4,29.85918793202964,-22.595919846750157,0.5,1.7231557440485155,-138.6449527668397
raw_candle_structure,1,3,-12.865030772315821,20.468596437600027,0.6666666666666666,0.5505802463629516,-65.40900908509107
raw_candle_structure,2,4,-70.52809415522805,-31.059431094089664,0.5,0.17217935035301427,-326.09958375311754
raw_ema_distance,0,4,-77.61242707594097,-36.492258317869684,0.5,0.13144845781614833,-336.96523820067756
raw_ema_distance,1,3,-45.29073837593793,-76.80852637326629,0.3333333333333333,0.16481992936737783,-162.68613189595737
raw_ema_distance,2,4,61.26280155545914,29.33843565864618,0.75,4.41737826420836,-13.030498273121708
raw_impulse_strength,0,4,16.150929989784803,35.25136851455957,0.75,1.2447289316286188,-193.47798453581908
raw_impulse_strength,1,3,-51.85732508717291,-76.80852637326629,0.3333333333333333,0.08627700422028219,-170.2616394466057
raw_impulse_strength,2,4,-27.575615476840383,-25.619386576407017,0.5,0.3000445516573331,-137.11637867550513
raw_retest_speed,0,11,-18.297337928158278,14.689664185086961,0.5454545454545454,0.6599164909689978,-459.35242170469934
