instrument,timestamp,session,setup_type,side,pnl,return_risk_adj,win,risk_rub,entry_qty,signal_score,raw_impulse_strength,raw_atr_expansion,raw_retest_speed,raw_htf_score,raw_ema_distance,raw_candle_structure,entry_bar,alpha_liq_sweep_bear,alpha_liq_sweep_bull,alpha_atr_ratio_short_long,alpha_vol_roll_pctile,alpha_compression,alpha_expand_after_compress,alpha_hour_norm,alpha_session_bucket,alpha_wick_upper_ratio,alpha_wick_lower_ratio,alpha_body_ratio,alpha_range_position
history_5m_6m,2025-10-16 18:00:00+00:00,evening,continuation,LONG,-373.2902593802202,-1.0883839780184146,0,342.9766212287117,1.064,0.5861604346643734,0.04634581105169341,1.1911593897324353,0.0,1.0,3.6727834551676204,1.0,123,0.0,0.0,0.31991905653066915,0.96,0.42000000000000004,0.0,0.75,1.0,0.0,0.0,1.0,1.0
history_5m_6m,2025-12-17 08:10:00+00:00,morning,pullback,LONG,66.91685283947297,1.1591861603277716,1,57.72744286435541,1.0080000000000002,0.7210000000000001,87.75,1.8642278072483431,0.0,1.0,9.69772043359772,1.0,861,0.0,0.0,0.22429854366392754,1.0,0.0,0.0,0.34027777777777773,0.3333333333333333,0.0,0.0,1.0,1.0
history_5m_6m,2026-02-13 09:25:00+00:00,morning,retest_late,LONG,10.777079731780738,0.34367345993115156,1,31.358487018286837,1.12,0.612837000897732,1.2045454545454546,0.9181427704693975,5.0,1.0,-2.4582828352883075,0.8301886792452831,2943,1.0,0.0,0.23436865538054308,0.04,0.040000000000000036,0.0,0.3923611111111111,0.3333333333333333,0.05660377358490566,0.11320754716981132,0.8301886792452831,0.7080745341614907
history_5m_6m,2026-02-17 20:45:00+00:00,evening,pullback,LONG,-52.48862088148558,-2.1623097137761964,0,24.274330613731063,1.0080000000000002,0.5518976178411077,0.88,1.0508097600443203,0.0,1.0,6.4763282668380056,0.5,3218,1.0,0.0,0.22292189113990618,0.7,0.07999999999999996,0.0,0.8645833333333334,1.0,0.5,0.0,0.5,0.6062992125984252
history_5m_6m,2026-02-18 09:25:00+00:00,morning,pullback,LONG,21.30629300840303,0.5398797409106206,1,39.464887073675875,1.0080000000000002,0.5173705882352941,0.27058823529411763,0.8943563755630647,0.0,1.0,6.059593062933558,1.0,3248,0.0,0.0,0.28185698926146574,0.68,0.19999999999999996,0.0,0.3923611111111111,0.3333333333333333,0.0,0.0,1.0,0.6617647058823529
history_5m_6m,2026-02-20 10:50:00+00:00,morning,pullback,LONG,7.820309609241367,0.24701144016374263,1,31.659706141777576,1.0080000000000002,0.5661966547661461,0.5443037974683544,1.0140726894622094,0.0,1.0,8.533123743881276,1.0,3471,0.0,0.0,0.2564397024994676,0.82,0.06000000000000005,1.0,0.4513888888888889,0.6666666666666666,0.0,0.0,1.0,0.8502994011976048
history_5m_6m,2026-03-09 06:35:00+00:00,night,pullback,LONG,63.2449942762127,1.8252959763417136,1,34.64917202248443,1.0080000000000002,0.498622419578855,0.16556291390728478,1.0598187085920454,0.0,1.0,3.4296342362939196,0.36,4839,0.0,0.0,0.405536463315783,0.98,0.13,0.0,0.2743055555555555,0.0,0.16,0.48,0.36,0.4105960264900662
history_5m_6m,2026-03-12 08:10:00+00:00,morning,pullback,LONG,-9.913491175333341,-0.45357260922136167,0,21.856459084581008,1.0080000000000002,0.5867367116642528,1.173913043478261,1.1287903069377403,0.0,1.0,5.534917696953007,0.4444444444444444,5331,0.0,1.0,0.3058711704943039,1.0,0.020000000000000018,0.0,0.34027777777777773,0.3333333333333333,0.0,0.5555555555555556,0.4444444444444444,0.8484848484848485
history_5m_6m,2026-03-18 09:00:00+00:00,morning,pullback,LONG,-68.38620588455919,-1.7326487846963747,0,39.46916795173987,1.0080000000000002,0.4766056560436406,0.5308641975308642,0.8911743207963546,0.0,1.0,5.955228399413568,0.37209302325581395,6144,0.0,1.0,0.3490053731269164,0.74,0.18000000000000005,1.0,0.375,0.3333333333333333,0.3023255813953488,0.32558139534883723,0.37209302325581395,0.3026315789473684
history_5m_6m,2026-03-19 07:45:00+00:00,morning,pullback,LONG,42.114353664046085,1.5346635417593197,1,27.442076076015137,1.0080000000000002,0.5214042939639116,0.4067796610169492,1.0972519552054056,0.0,1.0,5.760060993325702,0.3333333333333333,6304,1.0,0.0,0.21268837099821858,0.98,0.28,0.0,0.3229166666666667,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5056179775280899
history_5m_6m,2026-03-19 07:50:00+00:00,morning,pullback,LONG,-61.790972933759775,-1.8809391670934168,0,32.85112778487372,1.0080000000000002,0.6821615882689012,1.5084745762711864,1.3382292623835352,0.0,1.0,7.258779109273833,0.898876404494382,6305,0.0,0.0,0.25476708600931697,1.0,0.0,0.0,0.3263888888888889,0.3333333333333333,0.056179775280898875,0.0449438202247191,0.898876404494382,0.96
history_5m_6m,2026-03-19 08:20:00+00:00,morning,pullback,LONG,-64.51170110856204,-1.811902142949178,0,35.60440687131056,1.0080000000000002,0.5063166206077643,0.29213483146067415,1.0765914592346466,0.0,1.0,4.879280880198282,0.3076923076923077,6311,0.0,0.0,0.27780861874480534,0.96,0.37,0.0,0.34722222222222227,0.3333333333333333,0.19230769230769232,0.5,0.3076923076923077,0.5704225352112676
history_5m_6m,2026-03-20 07:45:00+00:00,morning,pullback,LONG,3.9508490614409304,0.18607908225581862,1,21.232096663123933,1.0080000000000002,0.5614856881470747,0.8148148148148148,1.1275749849637253,0.0,1.0,7.243349759535725,0.4090909090909091,6478,0.0,1.0,0.23762914969622226,1.0,0.16000000000000003,0.0,0.3229166666666667,0.3333333333333333,0.22727272727272727,0.36363636363636365,0.4090909090909091,0.4090909090909091
