factor,bin,n,avg_pnl,median_pnl,winrate,profit_factor,pnl_wo_top1
impulse_strength,0,2,136.22431263335977,136.22431263335977,1.0,,86.19637176624767
impulse_strength,1,2,-52.124088142775335,-52.124088142775335,0.5,0.15619264037438785,-123.54499530770201
atr_expansion,0,2,31.353629096384935,31.353629096384935,0.5,1.5075661546353274,-123.54499530770201
atr_expansion,1,2,52.74659539419952,52.74659539419952,1.0,,19.29681902215134
retest_speed,0,2,-18.674311770727158,-18.674311770727158,0.5,0.6976921367924813,-123.54499530770201
retest_speed,1,2,102.77453626131161,102.77453626131161,1.0,,19.29681902215134
ema_distance,0,2,31.353629096384935,31.353629096384935,0.5,1.5075661546353274,-123.54499530770201
ema_distance,1,2,52.74659539419952,52.74659539419952,1.0,,19.29681902215134
candle_structure,0,2,-18.674311770727158,-18.674311770727158,0.5,0.6976921367924813,-123.54499530770201
candle_structure,1,2,102.77453626131161,102.77453626131161,1.0,,19.29681902215134
