factor,bin,n,avg_pnl,median_pnl,winrate,profit_factor,pnl_wo_top1
impulse_strength,0,4,16.150929989784803,35.25136851455957,0.75,1.2447289316286188,-193.47798453581908
impulse_strength,1,3,-51.85732508717291,-76.80852637326629,0.3333333333333333,0.08627700422028219,-170.2616394466057
impulse_strength,2,4,-27.575615476840383,-25.619386576407017,0.5,0.3000445516573331,-137.11637867550513
atr_expansion,0,4,-104.19897756601375,-89.66535929801525,0.25,0.05981241965532361,-443.3114401609687
atr_expansion,1,3,-4.3434994243739,14.689664185086961,0.6666666666666666,0.8182823000264726,-57.0177054053271
atr_expansion,2,4,57.138922831858906,23.641256602871817,0.75,3.9756552054745047,-29.526013167522677
retest_speed,0,11,-18.297337928158278,14.689664185086961,0.5454545454545454,0.6599164909689978,-459.35242170469934
ema_distance,0,4,-77.61242707594097,-36.492258317869684,0.5,0.13144845781614833,-336.96523820067756
ema_distance,1,3,-45.29073837593793,-76.80852637326629,0.3333333333333333,0.16481992936737783,-162.68613189595737
ema_distance,2,4,61.26280155545914,29.33843565864618,0.75,4.41737826420836,-13.030498273121708
candle_structure,0,4,29.85918793202964,-22.595919846750157,0.5,1.7231557440485155,-138.6449527668397
candle_structure,1,3,-12.865030772315821,20.468596437600027,0.6666666666666666,0.5505802463629516,-65.40900908509107
candle_structure,2,4,-70.52809415522805,-31.059431094089664,0.5,0.17217935035301427,-326.09958375311754
