factor,bin,n,avg_pnl,median_pnl,winrate,profit_factor,pnl_wo_top1
impulse_strength,0,6,-83.38280788086298,-64.69759483691524,0.3333333333333333,0.14456964515550777,-563.5418415613906
impulse_strength,1,6,-44.85936261111586,-60.32107457164987,0.16666666666666666,0.13529823640739652,-311.2705293307412
impulse_strength,2,6,-45.93435568814008,-60.92394415511891,0.3333333333333333,0.04096064290957732,-283.42644373808184
impulse_strength,3,6,-34.69120755128491,-51.49802242315134,0.16666666666666666,0.04922742015916567,-218.92432503949018
impulse_strength,4,6,6.852227366015602,4.003755374530304,0.5,1.5619702185926292,-25.803488643379353
atr_expansion,0,6,-36.713606172802606,-57.81351098313709,0.3333333333333333,0.12713082835268655,-241.58793004521866
atr_expansion,1,6,-52.19424173851627,-55.145069521352845,0.16666666666666666,0.024363416022749957,-320.98576004033896
atr_expansion,2,6,-21.932694327665228,-55.126759017099516,0.3333333333333333,0.4446376714489265,-194.84116024220407
atr_expansion,3,6,-82.56136707354915,-31.687586800505986,0.3333333333333333,0.028597063487144858,-506.0004634387755
atr_expansion,4,6,-8.613597052854994,-5.68417810952411,0.3333333333333333,0.6672617051265028,-118.59843515660295
retest_speed,0,30,-40.403101273077645,-52.9751516535821,0.3,0.17856479633835753,-1279.0098910318025
ema_distance,0,6,-25.43992329479237,-29.995403543809694,0.16666666666666666,0.19393205842533082,-189.36311928070225
ema_distance,1,6,-39.73974745010678,-62.145574296697326,0.3333333333333333,0.08239184104712412,-249.21556443242144
ema_distance,2,6,-95.0573043782879,-58.15309623305381,0.16666666666666666,0.09982024970345411,-633.5888205459399
ema_distance,3,6,-22.15281993872901,-31.719829655850972,0.3333333333333333,0.32301840073735877,-175.03127329642015
ema_distance,4,6,-19.625711303472176,-24.268885910022327,0.5,0.40056555940064575,-184.67112066030603
candle_structure,0,6,-29.675504415795235,-66.43174151736403,0.3333333333333333,0.3717528147819512,-241.29802077098412
candle_structure,1,6,-2.2866954557282235,0.6630494065104653,0.5,0.78900761549948,-50.44375224631738
candle_structure,2,6,-51.92186003966621,-57.7812681277921,0.0,0.0,-302.78755426736905
candle_structure,3,6,-52.53928038933015,-57.658570535064186,0.16666666666666666,0.03305723267833523,-326.0127620677617
candle_structure,4,6,-65.59216606486842,-24.97229377173604,0.5,0.1961686100765759,-460.4698492286834
