run_id,instrument_label,csv,htf_resample_rule,bars,time_first,time_last,params_row_json,total_pnl_net_rub,n_trades,winrate,max_drawdown_rub,avg_win_rub,avg_loss_rub,expectancy_rub,profit_factor,avg_retest_bars,avg_atr_slope,avg_impulse_strength_ratio,avg_range_atr_ratio,n_market_entries,n_limit_entries,pct_market_entries,pnl_without_top_1_trade,pnl_without_top_2_trades,interesting_candidate,pct_fast_retest_le2_bars,pct_trades_atr_slope_ge_min_expansion,pct_trades_range_atr_ge_min
strict_1h_nohtf,primary,fix_engine/backtest/history_1h_6m.csv,,1627,2025-10-02 19:00:00+00:00,2026-04-03 15:00:00+00:00,,339.4475227373164,4,1.0,0.0,84.8618806843291,,84.8618806843291,,1.5,1.385954266741561,0.36770596049932786,5.388831596159212,3,1,75.0,173.15086784274385,96.18987905185719,False,100.0,100.0,100.0
strict_1h_htf4h,primary,fix_engine/backtest/history_1h_6m.csv,4h,1627,2025-10-02 19:00:00+00:00,2026-04-03 15:00:00+00:00,,0,0,,0.0,,,,,,,,,0,0,,0.0,0.0,False,,,
strict_15m_nohtf,primary,fix_engine/backtest/history_15m_6m.csv,,4287,2025-10-02 19:45:00+00:00,2026-04-03 15:30:00+00:00,,243.5458648928975,2,1.0,0.0,121.77293244644875,,121.77293244644875,,1.0,1.2132030593646959,0.5016382933257355,4.742120577857051,2,0,100.0,13.115771593827645,0.0,False,100.0,100.0,100.0
strict_15m_htf1h,primary,fix_engine/backtest/history_15m_6m.csv,1h,4287,2025-10-02 19:45:00+00:00,2026-04-03 15:30:00+00:00,,0,0,,0.0,,,,,,,,,0,0,,0.0,0.0,False,,,
strict_5m_nohtf,primary,fix_engine/backtest/history_5m_6m.csv,,8460,2025-10-02 19:45:00+00:00,2026-04-03 15:30:00+00:00,,-63.73714802139486,2,0.5,73.35954063905623,9.622392617661376,-73.35954063905623,-31.86857401069743,0.13116756912376937,3.0,1.3915617785892938,0.7284409515717927,6.403318806453459,2,0,100.0,-73.35954063905623,0.0,False,50.0,50.0,100.0
strict_5m_htf15m,primary,fix_engine/backtest/history_5m_6m.csv,15min,8460,2025-10-02 19:45:00+00:00,2026-04-03 15:30:00+00:00,,9.622392617661376,1,1.0,0.0,9.622392617661376,,9.622392617661376,,5.0,0.9181427704693975,1.2045454545454546,6.489598808811457,1,0,100.0,0.0,0.0,False,0.0,0.0,100.0
relax_1h_htf4h_htfSlope0,primary,fix_engine/backtest/history_1h_6m.csv,4h,1627,2025-10-02 19:00:00+00:00,2026-04-03 15:00:00+00:00,"{""htf_min_slope_norm"": 0.0, ""impulse_strength"": 1.08, ""max_retest_bars_fast"": 8, ""min_atr_expansion"": 1.02, ""min_range_atr_ratio"": 2.15}",19.466139346574543,1,1.0,0.0,19.466139346574543,,19.466139346574543,,1.0,1.4355445981566894,0.4774774774774775,4.294349045102997,1,0,100.0,0.0,0.0,False,100.0,100.0,100.0
relax_15m_nohtf_A,primary,fix_engine/backtest/history_15m_6m.csv,,4287,2025-10-02 19:45:00+00:00,2026-04-03 15:30:00+00:00,"{""impulse_strength"": 1.08, ""max_retest_bars_fast"": 8, ""min_atr_expansion"": 1.02, ""min_range_atr_ratio"": 2.15}",90.95061953646882,5,0.6,79.10766213006713,81.59107140771698,-76.91129734334106,18.190123907293763,1.5912695707787543,2.8,1.1229267278885868,0.4075576742326511,5.375746607036454,4,1,80.0,-139.47947376260103,-152.59524535642868,False,60.0,60.0,100.0
relax_15m_nohtf_B,primary,fix_engine/backtest/history_15m_6m.csv,,4287,2025-10-02 19:45:00+00:00,2026-04-03 15:30:00+00:00,"{""impulse_strength"": 0.81, ""max_retest_bars_fast"": 8, ""min_atr_expansion"": 1.0, ""min_range_atr_ratio"": 2.0}",21.331351477645214,8,0.5,137.61193084901038,61.69349661927456,-56.36065874986326,2.6664189347056517,1.0946198640629663,3.75,1.0544165916756878,0.4162765766984372,5.058531140284962,8,0,100.0,-209.09874182142465,-222.2145134152523,False,37.5,50.0,100.0
relax_15m_htf1h_htfSlope0,primary,fix_engine/backtest/history_15m_6m.csv,1h,4287,2025-10-02 19:45:00+00:00,2026-04-03 15:30:00+00:00,"{""htf_min_slope_norm"": 0.0, ""max_retest_bars_fast"": 8, ""min_atr_expansion"": 1.02}",0,0,,0.0,,,,,,,,,0,0,,0.0,0.0,False,,,
