factor,history_15m_6m,history_5m_6m,spearman_std_across_instruments,spearman_mean_across_instruments
alpha_atr_ratio_short_long,-0.8,-0.2785714285714286,0.36870567876155697,-0.23662191660329057
alpha_body_ratio,-0.2,-0.3392857142857143,0.09848987309384055,-0.14693194706395793
alpha_compression,-0.2,-0.6214285714285714,0.2979950006429022,-0.1744778569285564
alpha_expand_after_compress,0.2,0.0571428571428571,0.10101525445522111,0.1193860371993594
alpha_hour_norm,-0.2,-0.2678571428571428,0.04798224586622996,-0.13995829899697096
alpha_htf_pv_quality,1.0,0.2571428571428571,0.5252793231671496,0.5941407267700023
alpha_liq_sweep_bear,0.2,-0.1964285714285714,0.2803173311132385,0.09462958656155569
alpha_liq_sweep_bull,0.2,0.0571428571428571,0.10101525445522111,0.1193860371993594
alpha_range_position,-0.4,-0.1178571428571428,0.1995051275490617,-0.10611733843602704
alpha_session_bucket,-0.2,-0.2642857142857143,0.04545686450484948,-0.13960961659362162
alpha_v2_dist_to_don_hi_atr,0.8,0.1392857142857143,0.4671955518553975,0.4688270887137039
alpha_v2_dist_to_don_lo_atr,0.4,0.3107142857142857,0.06313453403451319,0.257949606582933
alpha_v2_false_breakout_dn,0.2,0.0214285714285714,0.12626906806902638,0.11589921316586593
alpha_v2_false_breakout_up,0.2,-0.1964285714285714,0.2803173311132385,0.09462958656155569
alpha_v2_hour_cos,0.4,0.4214285714285714,0.015152288168283108,0.27886028653228484
alpha_v2_hour_sin,0.4,0.25,0.10606601717798214,0.25202200572599404
alpha_v2_price_zscore,-0.8,0.5821428571428572,0.9773225868542639,0.2531551479990403
alpha_v2_ret_3bar_atr,-0.2,0.6892857142857143,0.6288199589837512,0.3727018910898218
alpha_v2_session_fine,-0.2,-0.2642857142857143,0.04545686450484948,-0.13960961659362162
alpha_v2_vol_regime,-0.2,0.1821428571428571,0.27021580566771636,0.08411955427019115
alpha_v3_body_signed_ratio,-0.2,-0.3392857142857143,0.09848987309384055,-0.14693194706395793
alpha_v3_dist_don10_hi_atr,0.4,0.2142857142857142,0.1313198307917875,0.24853518169250055
alpha_v3_dist_don10_lo_atr,-0.2,0.5464285714285714,0.5278047045285301,0.2914110919857005
alpha_v3_dist_local_high_atr,0.8,-0.5892857142857143,0.9823733495770249,0.3976958784304369
alpha_v3_dist_local_low_atr,0.0,-0.0535714285714285,0.03788072042070785,-0.005230236050240217
alpha_v3_fail_break_2bar_dn,0.8,-0.5928571428571429,0.9848987309384054,0.3973471960270875
alpha_v3_fail_break_2bar_up,0.8,-0.025,0.5833630944789018,0.45278769815963393
alpha_v3_lower_shadow_frac,0.2,-0.0964285714285714,0.20960665299458373,0.10439269385533745
alpha_v3_minute_of_day_norm,-0.2,-0.2678571428571428,0.04798224586622996,-0.13995829899697096
alpha_v3_pin_bar_score,0.2,0.075,0.08838834764831845,0.12112944921610615
alpha_v3_pos_in_range_30,-0.4,0.4714285714285714,0.6161930521768486,0.22920720786847334
alpha_v3_ret5_atr_norm,0.8,0.5178571428571429,0.1995051275490616,0.5057874234687348
alpha_v3_tr_over_atr_pctile,0.2,0.6857142857142857,0.34345186514775167,0.40972205028734576
alpha_v3_upper_shadow_frac,0.4,0.1785714285714285,0.15657364440559274,0.2450483576590071
alpha_v3_zscore_20,0.2,0.4642857142857143,0.18687822074215898,0.28372131167595777
alpha_vol_roll_pctile,-0.2,0.4642857142857143,0.46972093321677805,0.24466888250083077
alpha_wick_lower_ratio,0.2,-0.0964285714285714,0.20960665299458373,0.10439269385533745
alpha_wick_upper_ratio,0.4,0.1785714285714285,0.15657364440559274,0.2450483576590071
raw_atr_expansion,-0.4,0.5464285714285714,0.6692260607658396,0.271884877398137
raw_candle_structure,-0.2,-0.3392857142857143,0.09848987309384055,-0.14693194706395793
raw_ema_distance,-0.6,0.0035714285714285,0.426789450073309,-0.05654637378508751
raw_htf_score,0.4,0.5142857142857142,0.0808122035641768,0.3316993059499637
raw_impulse_strength,0.0,0.8607142857142858,0.608616908092707,0.4897770646023309
raw_retest_speed,0.8,-0.025,0.5833630944789018,0.45278769815963393
