factor,bin,n,avg_pnl,median_pnl,winrate,profit_factor,pnl_wo_top1
alpha_atr_ratio_short_long,0,3,12.188340624601558,-0.46253873827706826,0.3333333333333333,5.087944772979784,-8.944597812448357
alpha_atr_ratio_short_long,1,3,-6.134857097752671,-7.62607159479035,0.0,0.0,-16.821156852790313
alpha_atr_ratio_short_long,2,3,-6.0910553356946435,-9.254508149328728,0.3333333333333333,0.09496175034697275,-20.19049030700026
alpha_atr_ratio_short_long,3,3,-7.196830234052769,-7.7016268413639075,0.0,0.0,-16.332079121285517
alpha_atr_ratio_short_long,4,3,-5.697843925675142,-10.000728409276991,0.3333333333333333,0.2795881349743212,-23.727443434619353
alpha_body_ratio,0,3,1.0976081255458239,1.9173242999163325,0.6666666666666666,1.6262013397001782,-3.3410872809564554
alpha_body_ratio,1,3,-4.327311778805434,-1.583414440467699,0.0,0.0,-12.519396598139235
alpha_body_ratio,2,3,-8.479398021621309,-8.48205907417129,0.0,0.0,-17.736567223500018
alpha_body_ratio,3,3,-10.451171676469901,-10.000728409276991,0.0,0.0,-23.727443434619353
alpha_body_ratio,4,3,9.228027382777151,-8.630452279921611,0.3333333333333333,2.5530573532179366,-17.825537537921576
alpha_compression,0,7,3.529728452651129,-1.583414440467699,0.2857142857142857,1.9005908494786663,-20.801520517695128
alpha_compression,1,2,-3.2823673871274783,-3.2823673871274783,0.5,0.22604467655203853,-8.48205907417129
alpha_compression,2,3,-8.442808948477083,-7.7016268413639075,0.0,0.0,-17.7023552506409
alpha_compression,3,3,-10.5372251515309,-9.254508149328728,0.0,0.0,-22.981223174671094
alpha_expand_after_compress,0,12,-1.8398062743943313,-8.091842957767598,0.25,0.7100328175343144,-67.587294978985
alpha_expand_after_compress,1,3,-5.573020870996342,-7.62607159479035,0.0,0.0,-16.25652387471196
alpha_hour_norm,0,3,-6.160042179943857,-7.7016268413639075,0.0,0.0,-16.89671209936387
alpha_hour_norm,1,3,10.589716343736319,-5.258411580872789,0.3333333333333333,3.3120859415064223,-13.740470655044078
alpha_hour_norm,2,3,-3.999089677201558,-8.630452279921611,0.3333333333333333,0.3560650163969441,-18.6311806891986
alpha_hour_norm,3,3,-7.021299624918252,-9.254508149328728,0.3333333333333333,0.08343003700645162,-22.981223174671086
alpha_hour_norm,4,3,-6.341530830246318,-7.62607159479035,0.0,0.0,-18.562053752461885
alpha_htf_pv_quality,0,3,-5.273080974527895,-8.48205907417129,0.3333333333333333,0.10810007797765843,-17.736567223500018
alpha_htf_pv_quality,1,3,-3.999089677201558,-8.630452279921611,0.3333333333333333,0.3560650163969441,-18.6311806891986
alpha_htf_pv_quality,2,3,-10.76292292593475,-10.935982157671535,0.0,0.0,-24.6626971830139
alpha_htf_pv_quality,3,3,-4.97201185904994,-5.258411580872789,0.0,0.0,-14.453496838872752
alpha_htf_pv_quality,4,3,12.074859468140474,-1.583414440467699,0.3333333333333333,4.901391206014715,-9.28504128183161
alpha_liq_sweep_bear,0,15,-2.5864491937147336,-7.7016268413639075,0.2,0.5821910042817768,-84.30635759197403
alpha_liq_sweep_bull,0,12,-1.9851066197702012,-8.091842957767598,0.25,0.6941367951396589,-69.33089912349546
alpha_liq_sweep_bull,1,3,-4.991819489492862,-5.258411580872789,0.0,0.0,-14.512919730201517
alpha_range_position,0,3,-5.781039494132049,-7.62607159479035,0.0,0.0,-16.88057974411908
alpha_range_position,1,3,-5.521821061177316,-8.48205907417129,0.3333333333333333,0.10373566766556917,-18.482787483448277
alpha_range_position,2,3,-0.8837098747458928,-1.583414440467699,0.3333333333333333,0.7144730385393929,-9.285041281831607
alpha_range_position,3,3,-8.274948672821978,-8.630452279921611,0.0,0.0,-19.566434437593145
alpha_range_position,4,3,7.529273134303569,-9.195085257999963,0.3333333333333333,1.985429552814212,-22.921800283342325
alpha_session_bucket,0,10,0.32090777596890396,-6.480019211118348,0.3,1.063106500760007,-42.300541926563994
alpha_session_bucket,1,5,-8.40116313308201,-9.254508149328728,0.0,0.0,-41.54327692713297
