factor,n_trades,n_nonnull,unreliable_small_sample,pearson_pnl,spearman_pnl,monotonic_bins,monotonicity_rho,spearman_train,spearman_test,sign_consistent,stability_score,recommended_drop
alpha_atr_ratio_short_long,4,4,True,-0.5682208926124664,-0.8,False,0.0,,,,0.0,False
alpha_body_ratio,4,4,True,0.2385095239477558,-0.2,False,0.0,,,,0.0,False
alpha_compression,4,4,True,-0.03596853344492277,-0.2,False,0.0,,,,0.0,False
alpha_expand_after_compress,4,4,True,-0.4169224565885557,0.2,False,0.0,,,,0.0,False
alpha_hour_norm,4,4,True,-0.239488678456307,-0.2,False,0.0,,,,0.0,False
alpha_htf_pv_quality,4,4,True,0.9887716518312679,1.0,False,0.0,,,,0.0,False
alpha_liq_sweep_bear,4,4,True,-0.4169224565885557,0.2,False,0.0,,,,0.0,False
alpha_liq_sweep_bull,4,4,True,-0.4169224565885557,0.2,False,0.0,,,,0.0,False
alpha_range_position,4,4,True,-0.25275347403270265,-0.4,False,0.0,,,,0.0,False
alpha_session_bucket,4,4,True,-0.5872624152273671,-0.2,False,0.0,,,,0.0,False
alpha_v2_dist_to_don_hi_atr,4,4,True,0.6150362313996403,0.8,False,0.0,,,,0.0,False
alpha_v2_dist_to_don_lo_atr,4,4,True,0.5266541963960633,0.4,False,0.0,,,,0.0,False
alpha_v2_false_breakout_dn,4,4,True,-0.4169224565885557,0.2,False,0.0,,,,0.0,False
alpha_v2_false_breakout_up,4,4,True,-0.41692245658855576,0.2,False,0.0,,,,0.0,False
alpha_v2_hour_cos,4,4,True,0.3258944160549873,0.4,False,0.0,,,,0.0,False
alpha_v2_hour_sin,4,4,True,0.2263159269390364,0.4,False,0.0,,,,0.0,False
alpha_v2_price_zscore,4,4,True,-0.6950493427869816,-0.8,False,0.0,,,,0.0,False
alpha_v2_ret_3bar_atr,4,4,True,0.22593444953395578,-0.2,False,0.0,,,,0.0,False
alpha_v2_session_fine,4,4,True,-0.4598712697615403,-0.2,False,0.0,,,,0.0,False
alpha_v2_vol_regime,4,4,True,-0.8694300135359382,-0.2,False,0.0,,,,0.0,False
alpha_v3_body_signed_ratio,4,4,True,0.2385095239477558,-0.2,False,0.0,,,,0.0,False
alpha_v3_dist_don10_hi_atr,4,4,True,0.49948426883752917,0.4,False,0.0,,,,0.0,False
alpha_v3_dist_don10_lo_atr,4,4,True,0.10207884760853904,-0.2,False,0.0,,,,0.0,False
alpha_v3_dist_local_high_atr,4,4,True,0.7659710143609297,0.8,False,0.0,,,,0.0,False
alpha_v3_dist_local_low_atr,4,4,True,-0.21124495804547988,0.0,False,0.0,,,,0.0,True
alpha_v3_fail_break_2bar_dn,4,4,True,,0.8,False,0.0,,,,0.0,False
alpha_v3_fail_break_2bar_up,4,4,True,,0.8,False,0.0,,,,0.0,False
alpha_v3_lower_shadow_frac,4,4,True,-0.3237179503688881,0.2,False,0.0,,,,0.0,False
alpha_v3_minute_of_day_norm,4,4,True,-0.239488678456307,-0.2,False,0.0,,,,0.0,False
alpha_v3_pin_bar_score,4,4,True,-0.4169224565885557,0.2,False,0.0,,,,0.0,False
alpha_v3_pos_in_range_30,4,4,True,-0.010006391674341305,-0.4,False,0.0,,,,0.0,False
alpha_v3_ret5_atr_norm,4,4,True,0.8765870678878098,0.8,False,0.0,,,,0.0,False
alpha_v3_tr_over_atr_pctile,4,4,True,0.08915190677702414,0.2,False,0.0,,,,0.0,False
alpha_v3_upper_shadow_frac,4,4,True,0.28807387566186515,0.4,False,0.0,,,,0.0,False
alpha_v3_zscore_20,4,4,True,0.3278749755809063,0.2,False,0.0,,,,0.0,False
alpha_vol_roll_pctile,4,4,True,-0.4740922685806921,-0.2,False,0.0,,,,0.0,False
alpha_wick_lower_ratio,4,4,True,-0.3237179503688881,0.2,False,0.0,,,,0.0,False
alpha_wick_upper_ratio,4,4,True,0.28807387566186515,0.4,False,0.0,,,,0.0,False
raw_atr_expansion,4,4,True,-0.28652882543047803,-0.4,False,0.0,,,,0.0,False
raw_candle_structure,4,4,True,0.2385095239477558,-0.2,False,0.0,,,,0.0,False
raw_ema_distance,4,4,True,-0.2426230180602097,-0.6,False,0.0,,,,0.0,False
raw_htf_score,4,4,True,-0.1570226666939269,0.4,False,0.0,,,,0.0,False
raw_impulse_strength,4,4,True,0.3534803400047265,0.0,False,0.0,,,,0.0,True
raw_retest_speed,4,4,True,,0.8,False,0.0,,,,0.0,False
