factor,bin,n,avg_pnl,median_pnl,winrate,profit_factor,pnl_wo_top1
alpha_atr_ratio_short_long,0,2,-11.463199971997444,-11.463199971997444,0.5,0.3606386243354636,-35.858281117100255
alpha_atr_ratio_short_long,1,2,-28.626394083849647,-28.626394083849647,0.0,0.0,-43.346074912738075
alpha_body_ratio,0,2,-24.882497186030736,-24.882497186030736,0.0,0.0,-35.858281117100255
alpha_body_ratio,1,2,-15.207096869816354,-15.207096869816354,0.5,0.2983403041483944,-43.346074912738075
alpha_compression,0,2,-15.207096869816354,-15.207096869816354,0.5,0.2983403041483944,-43.346074912738075
alpha_compression,1,2,-24.882497186030736,-24.882497186030736,0.0,0.0,-35.858281117100255
alpha_expand_after_compress,0,4,-20.044797027923543,-24.882497186030736,0.25,0.13888661436751976,-93.11106928479954
alpha_hour_norm,0,2,-15.207096869816354,-15.207096869816354,0.5,0.2983403041483944,-43.346074912738075
alpha_hour_norm,1,2,-24.882497186030736,-24.882497186030736,0.0,0.0,-35.858281117100255
alpha_htf_pv_quality,0,2,-39.60217801491916,-39.60217801491916,0.0,0.0,-43.34607491273807
alpha_htf_pv_quality,1,2,-0.4874160409279247,-0.4874160409279247,0.5,0.9299020506151532,-13.906713254961216
alpha_liq_sweep_bear,0,4,-20.044797027923543,-24.882497186030736,0.25,0.13888661436751976,-93.11106928479954
alpha_liq_sweep_bull,0,4,-20.044797027923543,-24.882497186030736,0.25,0.13888661436751976,-93.11106928479954
alpha_range_position,0,2,-24.882497186030736,-24.882497186030736,0.0,0.0,-35.858281117100255
alpha_range_position,1,2,-15.207096869816354,-15.207096869816354,0.5,0.2983403041483944,-43.346074912738075
alpha_session_bucket,0,2,-15.207096869816354,-15.207096869816354,0.5,0.2983403041483944,-43.346074912738075
alpha_session_bucket,1,2,-24.882497186030736,-24.882497186030736,0.0,0.0,-35.858281117100255
alpha_v2_dist_to_don_hi_atr,0,2,-39.60217801491916,-39.60217801491916,0.0,0.0,-43.34607491273807
alpha_v2_dist_to_don_hi_atr,1,2,-0.4874160409279247,-0.4874160409279247,0.5,0.9299020506151532,-13.906713254961216
alpha_v2_dist_to_don_lo_atr,0,2,-24.882497186030736,-24.882497186030736,0.0,0.0,-35.858281117100255
alpha_v2_dist_to_don_lo_atr,1,2,-15.207096869816354,-15.207096869816354,0.5,0.2983403041483944,-43.346074912738075
alpha_v2_false_breakout_dn,0,4,-20.044797027923543,-24.882497186030736,0.25,0.13888661436751976,-93.11106928479954
alpha_v2_false_breakout_up,0,4,-20.044797027923543,-24.882497186030736,0.25,0.13888661436751976,-93.11106928479954
alpha_v2_hour_cos,0,2,-24.882497186030736,-24.882497186030736,0.0,0.0,-35.858281117100255
alpha_v2_hour_cos,1,2,-15.207096869816354,-15.207096869816354,0.5,0.2983403041483944,-43.346074912738075
alpha_v2_hour_sin,0,2,-24.882497186030736,-24.882497186030736,0.0,0.0,-35.858281117100255
alpha_v2_hour_sin,1,2,-15.207096869816354,-15.207096869816354,0.5,0.2983403041483944,-43.346074912738075
alpha_v2_price_zscore,0,2,-0.4874160409279247,-0.4874160409279247,0.5,0.9299020506151532,-13.906713254961216
alpha_v2_price_zscore,1,2,-39.60217801491916,-39.60217801491916,0.0,0.0,-43.34607491273807
alpha_v2_ret_3bar_atr,0,2,-24.882497186030736,-24.882497186030736,0.0,0.0,-35.858281117100255
alpha_v2_ret_3bar_atr,1,2,-15.207096869816354,-15.207096869816354,0.5,0.2983403041483944,-43.346074912738075
alpha_v2_session_fine,0,2,-15.207096869816354,-15.207096869816354,0.5,0.2983403041483944,-43.346074912738075
alpha_v2_session_fine,1,2,-24.882497186030736,-24.882497186030736,0.0,0.0,-35.858281117100255
alpha_v2_vol_regime,0,4,-20.044797027923543,-24.882497186030736,0.25,0.13888661436751976,-93.11106928479954
alpha_v3_body_signed_ratio,0,2,-24.882497186030736,-24.882497186030736,0.0,0.0,-35.858281117100255
alpha_v3_body_signed_ratio,1,2,-15.207096869816354,-15.207096869816354,0.5,0.2983403041483944,-43.346074912738075
