factor,n_trades,n_nonnull,unreliable_small_sample,pearson_pnl,spearman_pnl,monotonic_bins,monotonicity_rho,spearman_train,spearman_test,sign_consistent,stability_score,recommended_drop
alpha_atr_ratio_short_long,2,2,True,,,False,0.0,,,,0.0,True
alpha_body_ratio,2,2,True,,,False,0.0,,,,0.0,True
alpha_compression,2,2,True,,,False,0.0,,,,0.0,True
alpha_expand_after_compress,2,2,True,,,False,0.0,,,,0.0,True
alpha_hour_norm,2,2,True,,,False,0.0,,,,0.0,True
alpha_htf_pv_quality,2,2,True,,,False,0.0,,,,0.0,True
alpha_liq_sweep_bear,2,2,True,,,False,0.0,,,,0.0,True
alpha_liq_sweep_bull,2,2,True,,,False,0.0,,,,0.0,True
alpha_range_position,2,2,True,,,False,0.0,,,,0.0,True
alpha_session_bucket,2,2,True,,,False,0.0,,,,0.0,True
alpha_v2_dist_to_don_hi_atr,2,2,True,,,False,0.0,,,,0.0,True
alpha_v2_dist_to_don_lo_atr,2,2,True,,,False,0.0,,,,0.0,True
alpha_v2_false_breakout_dn,2,2,True,,,False,0.0,,,,0.0,True
alpha_v2_false_breakout_up,2,2,True,,,False,0.0,,,,0.0,True
alpha_v2_hour_cos,2,2,True,,,False,0.0,,,,0.0,True
alpha_v2_hour_sin,2,2,True,,,False,0.0,,,,0.0,True
alpha_v2_price_zscore,2,2,True,,,False,0.0,,,,0.0,True
alpha_v2_ret_3bar_atr,2,2,True,,,False,0.0,,,,0.0,True
alpha_v2_session_fine,2,2,True,,,False,0.0,,,,0.0,True
alpha_v2_vol_regime,2,2,True,,,False,0.0,,,,0.0,True
alpha_v3_body_signed_ratio,2,2,True,,,False,0.0,,,,0.0,True
alpha_v3_dist_don10_hi_atr,2,2,True,,,False,0.0,,,,0.0,True
alpha_v3_dist_don10_lo_atr,2,2,True,,,False,0.0,,,,0.0,True
alpha_v3_dist_local_high_atr,2,2,True,,,False,0.0,,,,0.0,True
alpha_v3_dist_local_low_atr,2,2,True,,,False,0.0,,,,0.0,True
alpha_v3_fail_break_2bar_dn,2,2,True,,,False,0.0,,,,0.0,True
alpha_v3_fail_break_2bar_up,2,2,True,,,False,0.0,,,,0.0,True
alpha_v3_lower_shadow_frac,2,2,True,,,False,0.0,,,,0.0,True
alpha_v3_minute_of_day_norm,2,2,True,,,False,0.0,,,,0.0,True
alpha_v3_pin_bar_score,2,2,True,,,False,0.0,,,,0.0,True
alpha_v3_pos_in_range_30,2,2,True,,,False,0.0,,,,0.0,True
alpha_v3_ret5_atr_norm,2,2,True,,,False,0.0,,,,0.0,True
alpha_v3_tr_over_atr_pctile,2,2,True,,,False,0.0,,,,0.0,True
alpha_v3_upper_shadow_frac,2,2,True,,,False,0.0,,,,0.0,True
alpha_v3_zscore_20,2,2,True,,,False,0.0,,,,0.0,True
alpha_vol_roll_pctile,2,2,True,,,False,0.0,,,,0.0,True
alpha_wick_lower_ratio,2,2,True,,,False,0.0,,,,0.0,True
alpha_wick_upper_ratio,2,2,True,,,False,0.0,,,,0.0,True
raw_atr_expansion,2,2,True,,,False,0.0,,,,0.0,True
raw_candle_structure,2,2,True,,,False,0.0,,,,0.0,True
raw_ema_distance,2,2,True,,,False,0.0,,,,0.0,True
raw_htf_score,2,2,True,,,False,0.0,,,,0.0,True
raw_impulse_strength,2,2,True,,,False,0.0,,,,0.0,True
raw_retest_speed,2,2,True,,,False,0.0,,,,0.0,True
